Id;Label;AltLabel;color
1;Aciman André;Node_alt_1;#6A3D9A
2;Agassi Andre;Node_alt_2;#E6E6E6
3;Alcott Louisa May;Node_alt_3;#6A3D9A
4;Allende Isabel;Node_alt_4;#6A3D9A
5;Ammaniti Niccolò;Node_alt_5;#E6E6E6
6;Anderson Sherwood;Node_alt_6;#E6E6E6
7;Atkinson Kate;Node_alt_7;#6A3D9A
8;Atwood Margaret;Node_alt_8;#6A3D9A
9;Austen Jane;Node_alt_9;#6A3D9A
10;Auster Paul;Node_alt_10;#E6E6E6
11;Ballard JG;Node_alt_11;#E6E6E6
12;Barbery Muriel;Node_alt_12;#E6E6E6
13;Baricco Alessandro;Node_alt_13;#E6E6E6
14;Barnes Julian;Node_alt_14;#6A3D9A
15;Bassani Giorgio;Node_alt_15;#E6E6E6
16;Baum L Frank;Node_alt_16;#E6E6E6
17;Bellow Saul;Node_alt_17;#6A3D9A
18;Bender Aimee;Node_alt_18;#E6E6E6
19;Benioff David;Node_alt_19;#E6E6E6
20;Bennett Alan;Node_alt_20;#6A3D9A
21;Bennett Andrea;Node_alt_21;#E6E6E6
22;Bernhard Thomas;Node_alt_22;#E6E6E6
23;Bolaño Roberto;Node_alt_23;#6A3D9A
24;Borges Jorge Luis;Node_alt_24;#E6E6E6
25;Boyne John;Node_alt_25;#E6E6E6
26;Bradbury Ray;Node_alt_26;#E6E6E6
27;Brontë Charlotte;Node_alt_27;#6A3D9A
28;Brontë Emily;Node_alt_28;#6A3D9A
29;Bukowski Charles;Node_alt_29;#E6E6E6
30;Bulgakov Mikhail;Node_alt_30;#E6E6E6
31;Bunker Edward;Node_alt_31;#E6E6E6
32;Byatt Antonia Susan;Node_alt_32;#6A3D9A
33;Cain James;Node_alt_33;#E6E6E6
34;Calvino Italo;Node_alt_34;#E6E6E6
35;Cameron Peter;Node_alt_35;#E6E6E6
36;Camus Albert;Node_alt_36;#6A3D9A
37;Capote Truman;Node_alt_37;#6A3D9A
38;Carrère Emmanuel;Node_alt_38;#E6E6E6
39;Carrisi Donato;Node_alt_39;#E6E6E6
40;Carroll Lewis;Node_alt_40;#6A3D9A
41;Carter Angela;Node_alt_41;#E6E6E6
42;Carver Raymond;Node_alt_42;#E6E6E6
43;Cather Willa;Node_alt_43;#6A3D9A
44;Catozzella Giuseppe;Node_alt_44;#E6E6E6
45;Chabon Michael;Node_alt_45;#6A3D9A
46;Chandler Raymond;Node_alt_46;#E6E6E6
47;Chatwin Bruce;Node_alt_47;#E6E6E6
48;Cheever John;Node_alt_48;#E6E6E6
49;Christie Agatha;Node_alt_49;#E6E6E6
50;Clarke Arthur;Node_alt_50;#6A3D9A
51;Cocteau Jean;Node_alt_51;#E6E6E6
52;Coe Jonathan;Node_alt_52;#E6E6E6
53;Coelho Paulo;Node_alt_53;#E6E6E6
54;Coetzee JM;Node_alt_54;#6A3D9A
55;Cognetti Paolo;Node_alt_55;#E6E6E6
56;Collodi Carlo;Node_alt_56;#E6E6E6
57;Connelly Michael;Node_alt_57;#E6E6E6
58;Conrad Joseph;Node_alt_58;#E6E6E6
59;Cooper Glenn;Node_alt_59;#E6E6E6
60;Cooper James;Node_alt_60;#E6E6E6
61;Crichton Michael;Node_alt_61;#E6E6E6
62;Cronin AJ;Node_alt_62;#6A3D9A
63;Cunningham Michael;Node_alt_63;#6A3D9A
64;Dawkins Richard;Node_alt_64;#6A3D9A
65;De Giovanni Maurizio;Node_alt_65;#E6E6E6
66;DeLillo Don;Node_alt_66;#6A3D9A
67;de Maupassant Guy;Node_alt_67;#E6E6E6
68;de Saint-Exupéry Antoine;Node_alt_68;#E6E6E6
69;Dickens Charles;Node_alt_69;#6A3D9A
70;Dicker Joël;Node_alt_70;#E6E6E6
71;Dick Philip Kindred;Node_alt_71;#E6E6E6
72;Didion Joan;Node_alt_72;#E6E6E6
73;Dostoevsky Fyodor;Node_alt_73;#6A3D9A
74;Doyle Arthur Conan;Node_alt_74;#E6E6E6
75;Dumas Alexandre;Node_alt_75;#6A3D9A
76;Duras Marguerite;Node_alt_76;#E6E6E6
77;Durrell Gerald;Node_alt_77;#E6E6E6
78;Eco Umberto;Node_alt_78;#E6E6E6
79;Eggers Dave;Node_alt_79;#6A3D9A
80;Eliot George;Node_alt_80;#6A3D9A
81;Ellis Bret Easton;Node_alt_81;#E6E6E6
82;Eugenides Jeffrey;Node_alt_82;#6A3D9A
83;Fante John;Node_alt_83;#6A3D9A
84;Faulkner William;Node_alt_84;#6A3D9A
85;Ferrante Elena;Node_alt_85;#6A3D9A
86;Fielding Helen;Node_alt_86;#6A3D9A
87;Fitzgerald Francis Scott;Node_alt_87;#6A3D9A
88;Flagg Fannie;Node_alt_88;#E6E6E6
89;Flaubert Gustave;Node_alt_89;#6A3D9A
90;Flynn Gillian;Node_alt_90;#6A3D9A
91;Foer Jonathan Safran;Node_alt_91;#E6E6E6
92;Follett Ken;Node_alt_92;#6A3D9A
93;Ford Richard;Node_alt_93;#6A3D9A
94;Frank Anne;Node_alt_94;#E6E6E6
95;Franzen Jonathan;Node_alt_95;#6A3D9A
96;Gaiman Neil;Node_alt_96;#E6E6E6
97;Gary Romain;Node_alt_97;#E6E6E6
98;Gibson William;Node_alt_98;#6A3D9A
99;Ginzburg Natalia;Node_alt_99;#E6E6E6
100;von Goethe Johann Wolfgang;Node_alt_100;#E6E6E6
101;Gogol Nikolai;Node_alt_101;#E6E6E6
102;Golden Arthur;Node_alt_102;#6A3D9A
103;Golding William;Node_alt_103;#6A3D9A
104;Gončarov Ivan;Node_alt_104;#E6E6E6
105;Grandes Almudena;Node_alt_105;#E6E6E6
106;Grass Günter;Node_alt_106;#6A3D9A
107;Green John;Node_alt_107;#E6E6E6
108;Groff Lauren;Node_alt_108;#6A3D9A
109;Grogan John;Node_alt_109;#E6E6E6
110;Gurdjieff Georges;Node_alt_110;#E6E6E6
111;Haddon Mark;Node_alt_111;#6A3D9A
112;Hamid Mohsin;Node_alt_112;#6A3D9A
113;Hamsun Knut;Node_alt_113;#6A3D9A
114;Hardy Thomas;Node_alt_114;#6A3D9A
115;Hawkins Paula;Node_alt_115;#E6E6E6
116;Hemingway Ernest;Node_alt_116;#6A3D9A
117;Hesse Herman;Node_alt_117;#6A3D9A
118;Highsmith Patricia;Node_alt_118;#E6E6E6
119;Homes Amy;Node_alt_119;#E6E6E6
120;Honeyman Gail;Node_alt_120;#6A3D9A
121;Hornby Nick;Node_alt_121;#E6E6E6
122;Hosseini Khaled;Node_alt_122;#6A3D9A
123;Houellebecq Michel;Node_alt_123;#E6E6E6
124;Howard Elizabeth Jane;Node_alt_124;#E6E6E6
125;Hrabal Bohumil;Node_alt_125;#E6E6E6
126;Hugo Victor;Node_alt_126;#E6E6E6
127;Huxley Aldous;Node_alt_127;#6A3D9A
128;Huysmans Joris Karl;Node_alt_128;#E6E6E6
129;Irving John;Node_alt_129;#6A3D9A
130;Isaacson Walter;Node_alt_130;#6A3D9A
131;Isherwood Christopher;Node_alt_131;#E6E6E6
132;Ishiguro Kazuo;Node_alt_132;#6A3D9A
133;Jackson Shirley;Node_alt_133;#E6E6E6
134;James Henry;Node_alt_134;#E6E6E6
135;Jansson Tove;Node_alt_135;#E6E6E6
136;Jerome Jerome;Node_alt_136;#E6E6E6
137;St John Mandel Emily;Node_alt_137;#6A3D9A
138;Johnson Adam;Node_alt_138;#6A3D9A
139;Joyce James;Node_alt_139;#6A3D9A
140;Kafka Franz;Node_alt_140;#E6E6E6
141;Kanehara Hitomi;Node_alt_141;#E6E6E6
142;Kang Han;Node_alt_142;#6A3D9A
143;Karr Mary;Node_alt_143;#E6E6E6
144;Kawabata Yasunari;Node_alt_144;#6A3D9A
145;Kawamura Genki;Node_alt_145;#E6E6E6
146;Keneally Thomas;Node_alt_146;#6A3D9A
147;Kerouac Jack;Node_alt_147;#6A3D9A
148;King Stephen;Node_alt_148;#E6E6E6
149;Kinsella Sophie;Node_alt_149;#E6E6E6
