Id;Label;AltLabel;color
1;Aciman André;Node_alt_1;#ED6869
2;Agassi Andre;Node_alt_2;#ED6869
3;Alcott Louisa May;Node_alt_3;#79C074
4;Allende Isabel;Node_alt_4;#79C074
5;Ammaniti Niccolò;Node_alt_5;#ED6869
6;Anderson Sherwood;Node_alt_6;#ED6869
7;Atkinson Kate;Node_alt_7;#79C074
8;Atwood Margaret;Node_alt_8;#79C074
9;Austen Jane;Node_alt_9;#79C074
10;Auster Paul;Node_alt_10;#ED6869
11;Ballard JG;Node_alt_11;#ED6869
12;Barbery Muriel;Node_alt_12;#79C074
13;Baricco Alessandro;Node_alt_13;#ED6869
14;Barnes Julian;Node_alt_14;#ED6869
15;Bassani Giorgio;Node_alt_15;#ED6869
16;Baum L Frank;Node_alt_16;#ED6869
17;Bellow Saul;Node_alt_17;#ED6869
18;Bender Aimee;Node_alt_18;#79C074
19;Benioff David;Node_alt_19;#ED6869
20;Bennett Alan;Node_alt_20;#ED6869
21;Bennett Andrea;Node_alt_21;#79C074
22;Bernhard Thomas;Node_alt_22;#ED6869
23;Bolaño Roberto;Node_alt_23;#ED6869
24;Borges Jorge Luis;Node_alt_24;#ED6869
25;Boyne John;Node_alt_25;#ED6869
26;Bradbury Ray;Node_alt_26;#ED6869
27;Brontë Charlotte;Node_alt_27;#79C074
28;Brontë Emily;Node_alt_28;#79C074
29;Bukowski Charles;Node_alt_29;#ED6869
30;Bulgakov Mikhail;Node_alt_30;#ED6869
31;Bunker Edward;Node_alt_31;#ED6869
32;Byatt Antonia Susan;Node_alt_32;#79C074
33;Cain James;Node_alt_33;#ED6869
34;Calvino Italo;Node_alt_34;#ED6869
35;Cameron Peter;Node_alt_35;#ED6869
36;Camus Albert;Node_alt_36;#ED6869
37;Capote Truman;Node_alt_37;#ED6869
38;Carrère Emmanuel;Node_alt_38;#ED6869
39;Carrisi Donato;Node_alt_39;#ED6869
40;Carroll Lewis;Node_alt_40;#ED6869
41;Carter Angela;Node_alt_41;#79C074
42;Carver Raymond;Node_alt_42;#ED6869
43;Cather Willa;Node_alt_43;#79C074
44;Catozzella Giuseppe;Node_alt_44;#ED6869
45;Chabon Michael;Node_alt_45;#ED6869
46;Chandler Raymond;Node_alt_46;#ED6869
47;Chatwin Bruce;Node_alt_47;#ED6869
48;Cheever John;Node_alt_48;#ED6869
49;Christie Agatha;Node_alt_49;#79C074
50;Clarke Arthur;Node_alt_50;#ED6869
51;Cocteau Jean;Node_alt_51;#ED6869
52;Coe Jonathan;Node_alt_52;#ED6869
53;Coelho Paulo;Node_alt_53;#ED6869
54;Coetzee JM;Node_alt_54;#ED6869
55;Cognetti Paolo;Node_alt_55;#ED6869
56;Collodi Carlo;Node_alt_56;#ED6869
57;Connelly Michael;Node_alt_57;#ED6869
58;Conrad Joseph;Node_alt_58;#ED6869
59;Cooper Glenn;Node_alt_59;#ED6869
60;Cooper James;Node_alt_60;#ED6869
61;Crichton Michael;Node_alt_61;#ED6869
62;Cronin AJ;Node_alt_62;#ED6869
63;Cunningham Michael;Node_alt_63;#ED6869
64;Dawkins Richard;Node_alt_64;#ED6869
65;De Giovanni Maurizio;Node_alt_65;#ED6869
66;DeLillo Don;Node_alt_66;#ED6869
67;de Maupassant Guy;Node_alt_67;#ED6869
68;de Saint-Exupéry Antoine;Node_alt_68;#ED6869
69;Dickens Charles;Node_alt_69;#ED6869
70;Dicker Joël;Node_alt_70;#ED6869
71;Dick Philip Kindred;Node_alt_71;#ED6869
72;Didion Joan;Node_alt_72;#79C074
73;Dostoevsky Fyodor;Node_alt_73;#ED6869
74;Doyle Arthur Conan;Node_alt_74;#ED6869
75;Dumas Alexandre;Node_alt_75;#ED6869
76;Duras Marguerite;Node_alt_76;#79C074
77;Durrell Gerald;Node_alt_77;#ED6869
78;Eco Umberto;Node_alt_78;#ED6869
79;Eggers Dave;Node_alt_79;#ED6869
80;Eliot George;Node_alt_80;#79C074
81;Ellis Bret Easton;Node_alt_81;#ED6869
82;Eugenides Jeffrey;Node_alt_82;#ED6869
83;Fante John;Node_alt_83;#ED6869
84;Faulkner William;Node_alt_84;#ED6869
85;Ferrante Elena;Node_alt_85;#79C074
86;Fielding Helen;Node_alt_86;#79C074
87;Fitzgerald Francis Scott;Node_alt_87;#ED6869
88;Flagg Fannie;Node_alt_88;#79C074
89;Flaubert Gustave;Node_alt_89;#ED6869
90;Flynn Gillian;Node_alt_90;#79C074
91;Foer Jonathan Safran;Node_alt_91;#ED6869
92;Follett Ken;Node_alt_92;#ED6869
93;Ford Richard;Node_alt_93;#ED6869
94;Frank Anne;Node_alt_94;#79C074
95;Franzen Jonathan;Node_alt_95;#ED6869
96;Gaiman Neil;Node_alt_96;#ED6869
97;Gary Romain;Node_alt_97;#ED6869
98;Gibson William;Node_alt_98;#ED6869
99;Ginzburg Natalia;Node_alt_99;#79C074
100;von Goethe Johann Wolfgang;Node_alt_100;#ED6869
101;Gogol Nikolai;Node_alt_101;#ED6869
102;Golden Arthur;Node_alt_102;#ED6869
103;Golding William;Node_alt_103;#ED6869
104;Gončarov Ivan;Node_alt_104;#ED6869
105;Grandes Almudena;Node_alt_105;#79C074
106;Grass Günter;Node_alt_106;#ED6869
107;Green John;Node_alt_107;#ED6869
108;Groff Lauren;Node_alt_108;#79C074
109;Grogan John;Node_alt_109;#ED6869
110;Gurdjieff Georges;Node_alt_110;#ED6869
111;Haddon Mark;Node_alt_111;#ED6869
112;Hamid Mohsin;Node_alt_112;#ED6869
113;Hamsun Knut;Node_alt_113;#ED6869
114;Hardy Thomas;Node_alt_114;#ED6869
115;Hawkins Paula;Node_alt_115;#79C074
116;Hemingway Ernest;Node_alt_116;#ED6869
117;Hesse Herman;Node_alt_117;#ED6869
118;Highsmith Patricia;Node_alt_118;#79C074
119;Homes Amy;Node_alt_119;#79C074
120;Honeyman Gail;Node_alt_120;#79C074
121;Hornby Nick;Node_alt_121;#ED6869
122;Hosseini Khaled;Node_alt_122;#ED6869
123;Houellebecq Michel;Node_alt_123;#ED6869
124;Howard Elizabeth Jane;Node_alt_124;#79C074
125;Hrabal Bohumil;Node_alt_125;#ED6869
126;Hugo Victor;Node_alt_126;#ED6869
127;Huxley Aldous;Node_alt_127;#ED6869
128;Huysmans Joris Karl;Node_alt_128;#ED6869
129;Irving John;Node_alt_129;#ED6869
130;Isaacson Walter;Node_alt_130;#ED6869
131;Isherwood Christopher;Node_alt_131;#ED6869
132;Ishiguro Kazuo;Node_alt_132;#ED6869
133;Jackson Shirley;Node_alt_133;#79C074
134;James Henry;Node_alt_134;#ED6869
135;Jansson Tove;Node_alt_135;#79C074
136;Jerome Jerome;Node_alt_136;#ED6869
137;St John Mandel Emily;Node_alt_137;#79C074
138;Johnson Adam;Node_alt_138;#ED6869
139;Joyce James;Node_alt_139;#ED6869
140;Kafka Franz;Node_alt_140;#ED6869
141;Kanehara Hitomi;Node_alt_141;#79C074
142;Kang Han;Node_alt_142;#79C074
143;Karr Mary;Node_alt_143;#79C074
144;Kawabata Yasunari;Node_alt_144;#ED6869
145;Kawamura Genki;Node_alt_145;#ED6869
146;Keneally Thomas;Node_alt_146;#ED6869
147;Kerouac Jack;Node_alt_147;#ED6869
148;King Stephen;Node_alt_148;#ED6869
149;Kinsella Sophie;Node_alt_149;#79C074
150;Kipling Rudyard;Node_alt_150;#ED6869
151;Knausgård Karl Ove;Node_alt_151;#ED6869
152;Krakauer Jon;Node_alt_152;#ED6869
153;Kristof Ágota;Node_alt_153;#79C074
154;Kundera Milan;Node_alt_154;#ED6869
155;Laclos Pierre;Node_alt_155;#ED6869
156;Lagercrantz David;Node_alt_156;#ED6869
157;Lagioia Nicola;Node_alt_157;#ED6869
158;Lahiri Jhumpa;Node_alt_158;#79C074
159;Laing Olivia;Node_alt_159;#79C074
160;Lampedusa Giuseppe Tomasi;Node_alt_160;#ED6869
