Id;Label;AltLabel;color
1;Aciman André;Node_alt_1;#E6E6E6
2;Agassi Andre;Node_alt_2;#E6E6E6
3;Alcott Louisa May;Node_alt_3;#E6E6E6
4;Allende Isabel;Node_alt_4;#FF7F00
5;Ammaniti Niccolò;Node_alt_5;#FF7F00
6;Anderson Sherwood;Node_alt_6;#E6E6E6
7;Atkinson Kate;Node_alt_7;#E6E6E6
8;Atwood Margaret;Node_alt_8;#E6E6E6
9;Austen Jane;Node_alt_9;#E6E6E6
10;Auster Paul;Node_alt_10;#E6E6E6
11;Ballard JG;Node_alt_11;#E6E6E6
12;Barbery Muriel;Node_alt_12;#FF7F00
13;Baricco Alessandro;Node_alt_13;#FF7F00
14;Barnes Julian;Node_alt_14;#E6E6E6
15;Bassani Giorgio;Node_alt_15;#E6E6E6
16;Baum L Frank;Node_alt_16;#E6E6E6
17;Bellow Saul;Node_alt_17;#E6E6E6
18;Bender Aimee;Node_alt_18;#E6E6E6
19;Benioff David;Node_alt_19;#E6E6E6
20;Bennett Alan;Node_alt_20;#E6E6E6
21;Bennett Andrea;Node_alt_21;#E6E6E6
22;Bernhard Thomas;Node_alt_22;#FF7F00
23;Bolaño Roberto;Node_alt_23;#FF7F00
24;Borges Jorge Luis;Node_alt_24;#FF7F00
25;Boyne John;Node_alt_25;#E6E6E6
26;Bradbury Ray;Node_alt_26;#E6E6E6
27;Brontë Charlotte;Node_alt_27;#E6E6E6
28;Brontë Emily;Node_alt_28;#E6E6E6
29;Bukowski Charles;Node_alt_29;#E6E6E6
30;Bulgakov Mikhail;Node_alt_30;#FF7F00
31;Bunker Edward;Node_alt_31;#E6E6E6
32;Byatt Antonia Susan;Node_alt_32;#E6E6E6
33;Cain James;Node_alt_33;#E6E6E6
34;Calvino Italo;Node_alt_34;#FF7F00
35;Cameron Peter;Node_alt_35;#E6E6E6
36;Camus Albert;Node_alt_36;#FF7F00
37;Capote Truman;Node_alt_37;#E6E6E6
38;Carrère Emmanuel;Node_alt_38;#FF7F00
39;Carrisi Donato;Node_alt_39;#FF7F00
40;Carroll Lewis;Node_alt_40;#E6E6E6
41;Carter Angela;Node_alt_41;#E6E6E6
42;Carver Raymond;Node_alt_42;#E6E6E6
43;Cather Willa;Node_alt_43;#E6E6E6
44;Catozzella Giuseppe;Node_alt_44;#FF7F00
45;Chabon Michael;Node_alt_45;#E6E6E6
46;Chandler Raymond;Node_alt_46;#E6E6E6
47;Chatwin Bruce;Node_alt_47;#E6E6E6
48;Cheever John;Node_alt_48;#E6E6E6
49;Christie Agatha;Node_alt_49;#E6E6E6
50;Clarke Arthur;Node_alt_50;#E6E6E6
51;Cocteau Jean;Node_alt_51;#FF7F00
52;Coe Jonathan;Node_alt_52;#E6E6E6
53;Coelho Paulo;Node_alt_53;#FF7F00
54;Coetzee JM;Node_alt_54;#E6E6E6
55;Cognetti Paolo;Node_alt_55;#FF7F00
56;Collodi Carlo;Node_alt_56;#FF7F00
57;Connelly Michael;Node_alt_57;#E6E6E6
58;Conrad Joseph;Node_alt_58;#E6E6E6
59;Cooper Glenn;Node_alt_59;#E6E6E6
60;Cooper James;Node_alt_60;#E6E6E6
61;Crichton Michael;Node_alt_61;#E6E6E6
62;Cronin AJ;Node_alt_62;#E6E6E6
63;Cunningham Michael;Node_alt_63;#E6E6E6
64;Dawkins Richard;Node_alt_64;#E6E6E6
65;De Giovanni Maurizio;Node_alt_65;#FF7F00
66;DeLillo Don;Node_alt_66;#E6E6E6
67;de Maupassant Guy;Node_alt_67;#FF7F00
68;de Saint-Exupéry Antoine;Node_alt_68;#FF7F00
69;Dickens Charles;Node_alt_69;#E6E6E6
70;Dicker Joël;Node_alt_70;#FF7F00
71;Dick Philip Kindred;Node_alt_71;#E6E6E6
72;Didion Joan;Node_alt_72;#E6E6E6
73;Dostoevsky Fyodor;Node_alt_73;#FF7F00
74;Doyle Arthur Conan;Node_alt_74;#E6E6E6
75;Dumas Alexandre;Node_alt_75;#FF7F00
76;Duras Marguerite;Node_alt_76;#FF7F00
77;Durrell Gerald;Node_alt_77;#E6E6E6
78;Eco Umberto;Node_alt_78;#FF7F00
79;Eggers Dave;Node_alt_79;#E6E6E6
80;Eliot George;Node_alt_80;#E6E6E6
81;Ellis Bret Easton;Node_alt_81;#E6E6E6
82;Eugenides Jeffrey;Node_alt_82;#E6E6E6
83;Fante John;Node_alt_83;#E6E6E6
84;Faulkner William;Node_alt_84;#E6E6E6
85;Ferrante Elena;Node_alt_85;#FF7F00
86;Fielding Helen;Node_alt_86;#E6E6E6
87;Fitzgerald Francis Scott;Node_alt_87;#E6E6E6
88;Flagg Fannie;Node_alt_88;#E6E6E6
