Source;Target;Label;Weight
3;9;Node_3_to_9;0.997137
5;21;Node_5_to_21;0.988118
4;24;Node_4_to_24;0.993909
3;27;Node_3_to_27;0.998855
9;27;Node_9_to_27;0.999777
3;28;Node_3_to_28;0.996853
9;28;Node_9_to_28;0.999334
27;28;Node_27_to_28;0.999826
29;31;Node_29_to_31;0.988259
29;33;Node_29_to_33;0.995682
24;34;Node_24_to_34;0.991461
23;39;Node_23_to_39;0.987404
3;40;Node_3_to_40;0.994538
18;42;Node_18_to_42;0.98698
29;42;Node_29_to_42;0.997021
33;42;Node_33_to_42;0.998135
3;43;Node_3_to_43;0.995136
6;43;Node_6_to_43;0.989057
29;46;Node_29_to_46;0.995556
31;46;Node_31_to_46;0.995187
33;46;Node_33_to_46;0.997918
42;46;Node_42_to_46;0.996511
24;47;Node_24_to_47;0.990055
32;47;Node_32_to_47;0.987108
16;56;Node_16_to_56;0.991845
31;57;Node_31_to_57;0.995907
39;57;Node_39_to_57;0.993234
57;59;Node_57_to_59;0.989768
3;60;Node_3_to_60;0.987454
9;60;Node_9_to_60;0.999841
27;60;Node_27_to_60;0.999775
28;60;Node_28_to_60;0.998251
9;62;Node_9_to_62;0.986095
27;62;Node_27_to_62;0.998396
28;62;Node_28_to_62;0.99627
14;64;Node_14_to_64;0.995026
24;64;Node_24_to_64;0.996255
50;64;Node_50_to_64;0.994773
39;65;Node_39_to_65;0.996956
11;66;Node_11_to_66;0.99265
45;66;Node_45_to_66;0.991208
27;67;Node_27_to_67;0.995123
28;67;Node_28_to_67;0.989876
16;68;Node_16_to_68;0.989615
3;69;Node_3_to_69;0.998809
9;69;Node_9_to_69;0.999913
27;69;Node_27_to_69;0.999829
28;69;Node_28_to_69;0.999543
40;69;Node_40_to_69;0.995415
49;69;Node_49_to_69;0.993239
60;69;Node_60_to_69;0.999715
62;69;Node_62_to_69;0.998106
67;69;Node_67_to_69;0.993864
23;70;Node_23_to_70;0.992678
39;70;Node_39_to_70;0.992882
57;70;Node_57_to_70;0.987779
61;71;Node_61_to_71;0.985059
9;73;Node_9_to_73;0.997399
28;73;Node_28_to_73;0.991968
49;73;Node_49_to_73;0.994777
67;73;Node_67_to_73;0.986431
69;73;Node_69_to_73;0.996191
9;74;Node_9_to_74;0.993392
27;74;Node_27_to_74;0.995485
28;74;Node_28_to_74;0.987562
49;74;Node_49_to_74;0.998338
60;74;Node_60_to_74;0.996811
69;74;Node_69_to_74;0.998071
73;74;Node_73_to_74;0.988659
9;75;Node_9_to_75;0.999532
27;75;Node_27_to_75;0.999401
