Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
1;Aciman André;Node_alt_1;0;2013;2;0;0;1
2;Agassi Andre;Node_alt_2;0;2009;2;0;0;0
3;Alcott Louisa May;Node_alt_3;1;1871;2;0;0;1
4;Allende Isabel;Node_alt_4;1;2001;3;1;0;1
5;Ammaniti Niccolò;Node_alt_5;0;2008;1;1;0;0
6;Anderson Sherwood;Node_alt_6;0;1919;2;0;0;0
7;Atkinson Kate;Node_alt_7;1;2013;1;0;0;1
8;Atwood Margaret;Node_alt_8;1;2001;2;0;0;1
9;Austen Jane;Node_alt_9;1;1812;1;0;0;1
10;Auster Paul;Node_alt_10;0;1999;2;0;0;0
11;Ballard JG;Node_alt_11;0;1974;1;0;0;0
12;Barbery Muriel;Node_alt_12;1;2006;1;1;0;0
13;Baricco Alessandro;Node_alt_13;0;1996;1;1;0;0
14;Barnes Julian;Node_alt_14;0;2010;1;0;0;1
15;Bassani Giorgio;Node_alt_15;0;1962;1;0;0;0
16;Baum L Frank;Node_alt_16;0;1900;2;0;0;0
17;Bellow Saul;Node_alt_17;0;1967;2;0;1;1
18;Bender Aimee;Node_alt_18;1;2010;2;0;0;0
19;Benioff David;Node_alt_19;0;2008;2;0;0;0
20;Bennett Alan;Node_alt_20;0;1989;1;0;0;1
21;Bennett Andrea;Node_alt_21;1;2015;2;0;0;0
22;Bernhard Thomas;Node_alt_22;0;1983;1;1;0;0
23;Bolaño Roberto;Node_alt_23;0;2001;3;1;0;1
24;Borges Jorge Luis;Node_alt_24;0;1952;3;1;0;0
25;Boyne John;Node_alt_25;0;2006;1;0;0;0
26;Bradbury Ray;Node_alt_26;0;1953;2;0;0;0
27;Brontë Charlotte;Node_alt_27;1;1850;1;0;0;1
28;Brontë Emily;Node_alt_28;1;1847;1;0;0;1
29;Bukowski Charles;Node_alt_29;0;1973;2;0;0;0
30;Bulgakov Mikhail;Node_alt_30;0;1946;1;1;0;0
31;Bunker Edward;Node_alt_31;0;1984;2;0;0;0
32;Byatt Antonia Susan;Node_alt_32;1;2000;1;0;0;1
33;Cain James;Node_alt_33;0;1934;2;0;0;0
34;Calvino Italo;Node_alt_34;0;1971;1;1;0;0
35;Cameron Peter;Node_alt_35;0;2007;2;0;0;0
36;Camus Albert;Node_alt_36;0;1961;1;1;1;1
37;Capote Truman;Node_alt_37;0;1954;2;0;0;1
38;Carrère Emmanuel;Node_alt_38;0;2011;1;1;0;0
39;Carrisi Donato;Node_alt_39;0;2012;1;1;0;0
40;Carroll Lewis;Node_alt_40;0;1876;1;0;0;1
41;Carter Angela;Node_alt_41;1;1974;1;0;0;0
42;Carver Raymond;Node_alt_42;0;1982;2;0;0;0
43;Cather Willa;Node_alt_43;1;1919;2;0;0;1
44;Catozzella Giuseppe;Node_alt_44;0;2014;1;1;0;0
45;Chabon Michael;Node_alt_45;0;2000;2;0;0;1
46;Chandler Raymond;Node_alt_46;0;1944;2;0;0;0
47;Chatwin Bruce;Node_alt_47;0;1984;1;0;0;0
48;Cheever John;Node_alt_48;0;1976;2;0;0;0
49;Christie Agatha;Node_alt_49;1;1942;1;0;0;0
50;Clarke Arthur;Node_alt_50;0;1963;1;0;0;1
51;Cocteau Jean;Node_alt_51;0;1929;1;1;0;0
52;Coe Jonathan;Node_alt_52;0;2006;1;0;0;0
53;Coelho Paulo;Node_alt_53;0;1993;3;1;0;0
54;Coetzee JM;Node_alt_54;0;1992;5;0;1;1
55;Cognetti Paolo;Node_alt_55;0;2016;1;1;0;0
56;Collodi Carlo;Node_alt_56;0;1883;1;1;0;0
57;Connelly Michael;Node_alt_57;0;2019;2;0;0;0
58;Conrad Joseph;Node_alt_58;0;1899;1;0;0;0
59;Cooper Glenn;Node_alt_59;0;2018;2;0;0;0
60;Cooper James;Node_alt_60;0;1838;2;0;0;0
61;Crichton Michael;Node_alt_61;0;1990;2;0;0;0
62;Cronin AJ;Node_alt_62;0;1934;1;0;0;1
63;Cunningham Michael;Node_alt_63;0;1999;2;0;0;1
64;Dawkins Richard;Node_alt_64;0;2006;1;0;0;1
65;De Giovanni Maurizio;Node_alt_65;0;2013;1;1;0;0
66;DeLillo Don;Node_alt_66;0;1995;2;0;0;1
67;de Maupassant Guy;Node_alt_67;0;1885;1;1;0;0
68;de Saint-Exupéry Antoine;Node_alt_68;0;1943;1;1;0;0
69;Dickens Charles;Node_alt_69;0;1849;1;0;0;1
70;Dicker Joël;Node_alt_70;0;2012;1;1;0;0
71;Dick Philip Kindred;Node_alt_71;0;1973;2;0;0;0
72;Didion Joan;Node_alt_72;1;2005;2;0;0;0
73;Dostoevsky Fyodor;Node_alt_73;0;1865;1;1;0;1
74;Doyle Arthur Conan;Node_alt_74;0;1901;1;0;0;0
75;Dumas Alexandre;Node_alt_75;0;1845;1;1;0;1
76;Duras Marguerite;Node_alt_76;1;1984;1;1;0;0
77;Durrell Gerald;Node_alt_77;0;1956;1;0;0;0
78;Eco Umberto;Node_alt_78;0;1980;1;1;0;0
79;Eggers Dave;Node_alt_79;0;2007;2;0;0;1
80;Eliot George;Node_alt_80;1;1865;1;0;0;1
81;Ellis Bret Easton;Node_alt_81;0;1988;2;0;0;0
82;Eugenides Jeffrey;Node_alt_82;0;1998;2;0;0;1
83;Fante John;Node_alt_83;0;1951;2;0;0;1
84;Faulkner William;Node_alt_84;0;1936;2;0;1;1
85;Ferrante Elena;Node_alt_85;1;2006;1;1;0;1
86;Fielding Helen;Node_alt_86;1;1995;1;0;0;1
87;Fitzgerald Francis Scott;Node_alt_87;0;1930;2;0;0;1
88;Flagg Fannie;Node_alt_88;1;1987;2;0;0;0
89;Flaubert Gustave;Node_alt_89;0;1863;1;1;0;1
90;Flynn Gillian;Node_alt_90;1;2009;2;0;0;1
91;Foer Jonathan Safran;Node_alt_91;0;2004;2;0;0;0
92;Follett Ken;Node_alt_92;0;2006;1;0;0;1
93;Ford Richard;Node_alt_93;0;2004;2;0;0;1
94;Frank Anne;Node_alt_94;1;1947;1;1;0;0
95;Franzen Jonathan;Node_alt_95;0;2009;2;0;0;1
96;Gaiman Neil;Node_alt_96;0;2006;1;0;0;0
97;Gary Romain;Node_alt_97;0;1980;1;1;0;0
98;Gibson William;Node_alt_98;0;1984;2;0;0;1
99;Ginzburg Natalia;Node_alt_99;1;1963;1;1;0;0
100;von Goethe Johann Wolfgang;Node_alt_100;0;1792;1;1;0;0
101;Gogol Nikolai;Node_alt_101;0;1839;1;1;0;0
102;Golden Arthur;Node_alt_102;0;1997;2;0;0;1
103;Golding William;Node_alt_103;0;1967;1;0;1;1
